transaction_id,merchant,gateway,created_at,currency,payment_method,payment_status,gross_amount,processing_fee,tax_withheld,refund_amount,settlement_id,settlement_status,expected_net,received_net,settlement_date,ledger_amount,ground_truth
TXN-10001,Maple Finance,Stripe,24-08-2026 08:15,INR,Visa,payment_captured,1349.09,41.17,8.23,0.0,SET-10001,settled,1299.69,1524.89,24-08-2026,1299.69,Settlement Overpayment
TXN-10002,Brightpath Retail,Worldpay,01-08-2026 02:13,INR,Visa,payment_captured,1393.51,39.34,7.87,0.0,SET-10002,settled,1346.3,1125.81,01-08-2026,1346.3,Settlement Shortfall
TXN-10003,Vertex Systems,Worldpay,15-08-2026 18:17,INR,Mastercard,payment_captured,4104.32,74.33,14.87,0.0,SET-10003,settled,4015.12,3942.29,15-08-2026,4015.12,Fee Mismatch
TXN-10004,Veridian Health,Braintree,07-08-2026 10:06,INR,Mastercard,payment_captured,735.91,14.46,2.89,321.68,SET-10004,settled,718.56,458.31,07-08-2026,718.56,Refund Settlement Mismatch
TXN-10005,Vertex Systems,Worldpay,04-08-2026 12:05,INR,ACH,payment_captured,2894.59,92.92,18.58,0.0,SET-10005,settled,2783.09,2521.81,04-08-2026,2783.09,Settlement Shortfall
TXN-10006,Redwood Energy,Adyen,02-08-2026 21:14,INR,Visa,payment_captured,3933.42,136.68,27.34,439.92,SET-10006,settled,3769.4,3305.51,02-08-2026,3769.4,Refund Settlement Mismatch
TXN-10007,Orion Manufacturing,Braintree,12-08-2026 11:13,INR,Mastercard,payment_captured,3449.82,103.26,20.65,0.0,SET-10007,settled,3325.91,3362.33,12-08-2026,3325.91,Settlement Overpayment
TXN-10008,Maple Finance,Adyen,24-08-2026 07:10,INR,ACH,payment_captured,2472.62,55.85,11.17,0.0,SET-10008,settled,2405.6,2405.6,24-08-2026,2499.68,Ledger Mismatch
TXN-10009,Helio Cloud Services,Braintree,08-08-2026 01:51,INR,Visa,payment_captured,1782.63,40.2,8.04,0.0,SET-10009,settled,1734.39,1734.39,08-08-2026,1734.39,Reconciled
TXN-10010,Redwood Energy,Braintree,21-08-2026 15:25,INR,Mastercard,payment_captured,4458.01,128.96,25.79,0.0,SET-10010,settled,4303.26,4303.26,21-08-2026,4303.26,Reconciled
TXN-10011,Kestrel Media Group,Adyen,18-08-2026 08:47,INR,ACH,payment_captured,3047.55,101.37,20.27,0.0,SET-10011,settled,2925.91,2925.91,18-08-2026,2925.91,Reconciled
